event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
NIG40238,2025-01-01,2025,1,"Political violence",Riots,"Mob violence","Rioters (Nigeria)",,Rioters,"Civilians (Nigeria)","PDP: People's Democratic Party",Civilians,Rioters-Civilians,"Civilian targeting",566,"Western Africa",Nigeria,Kaduna,"Kaduna North",,Kawo,10.5777,7.4485,1,"Premium Times (Nigeria)",National,"On 1 January 2025, mobs attacked the Senator representing Kaduna North Senatorial District in Kawo (Kaduna North, Kaduna) over the alleged poor performance. They hurled stones and bottles at him while visiting his constituency.",0,"crowd size=no report",1736845186
NIG40839,2025-01-01,2025,1,"Political violence","Violence against civilians",Attack,"Katsina Communal Militia (Nigeria)",,"Identity militia","Civilians (Nigeria)",,Civilians,"Identity militia-Civilians","Civilian targeting",566,"Western Africa",Nigeria,Katsina,Jibia,,Daddara,13.0902,7.3925,1,"Risk and Strategic Management, Corporation","Local partner-International","On 1 January 2025, Katsina militia insurgents attacked Daddara (Jibia, Katsina). 1 person was killed and other three were abducted. Motivation unknown.",1,,1762291845
NIG40840,2025-01-01,2025,1,"Political violence","Violence against civilians","Abduction/forced disappearance","Sokoto Communal Militia (Nigeria)",,"Identity militia","Civilians (Nigeria)",,Civilians,"Identity militia-Civilians","Civilian targeting",566,"Western Africa",Nigeria,Sokoto,Goronyo,,Tulutu,13.4421,5.8147,1,"Risk and Strategic Management, Corporation","Local partner-International","On 1 January 2025, Sokoto militia insurgents attacked (means unspecified) the community of Tulutu (Goronyo, Sokoto) and abducted an unspecified number of people.",0,,1762291845
NIG40858,2025-01-01,2025,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Nigeria)",,"Political militia","Civilians (Nigeria)",,Civilians,"Political militia-Civilians","Civilian targeting",566,"Western Africa",Nigeria,Delta,Sapele,,Sapele,5.8941,5.6767,2,"Risk and Strategic Management, Corporation","Local partner-International","On 1 January 2025, an unidentified armed group stabbed and killed a person at Ogwanja community, coded to Sapele (Sapele, Delta). Motivation unknown.",1,,1762291845
NIG40215,2025-01-01,2025,1,"Strategic developments","Strategic developments","Looting/property destruction","Kaduna Communal Militia (Nigeria)",,"Identity militia","Civilians (Nigeria)","Protestant Christian Group (Nigeria)",Civilians,"Identity militia-Civilians",,566,"Western Africa",Nigeria,Kaduna,Kajuru,,Maro,10.0817,7.7247,2,"Daily Post (Nigeria)",National,"Property destruction: On 1 January 2025, a Kaduna militia vandalized property and set the ECWA Church on fire in Unguwar Rogo in the Ugom community of Maro ward (Kajuru, Kaduna). They also looted some farm produce and other valuable items.",0,,1764045690
NIG41060,2025-01-01,2025,2,"Political violence","Violence against civilians","Abduction/forced disappearance","Unidentified Armed Group (Nigeria)",,"Political militia","Civilians (Nigeria)","Protestant Christian Group (Nigeria)",Civilians,"Political militia-Civilians","Civilian targeting",566,"Western Africa",Nigeria,Oyo,Akinyele,,Ibadan,7.4333,3.9167,3,"Sahara Reporters",Regional,"Around 1 January 2025 (as reported), an unidentified armed group abducted a protestant pastor and his wife during a prayer session at a remote area of Oyo state, location coded to the state capital, Ibadan (Akinyele, Oyo). Police later rescued the hostages.",0,,1762291845
NIG40817,2025-01-01,2025,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Nigeria)",,"Political militia","Civilians (Nigeria)","Labor Group (Nigeria)",Civilians,"Political militia-Civilians","Civilian targeting",566,"Western Africa",Nigeria,Kwara,"Ilorin South",,Ilorin-Tanke,8.4881,4.6069,1,"Risk and Strategic Management, Corporation","Local partner-International","On 1 January 2025, an unidentified armed group killed the former Federal Controller of Works around Dele Gege Street, in the Aderoju area of Ilorin-Tanke (Ilorin South, Kwara). Motivation unknown.",1,,1762291845
NIG41766,2025-01-01,2025,1,"Political violence","Violence against civilians",Attack,"Kaduna Communal Militia (Nigeria)",,"Identity militia","Civilians (Nigeria)","Christian Group (Nigeria)",Civilians,"Identity militia-Civilians","Civilian targeting",566,"Western Africa",Nigeria,Kaduna,Kajuru,,Kajuru,10.3192,7.6892,2,"Risk and Strategic Management, Corporation","Local partner-International","On 1 January 2025, a Kaduna militia attacked Unguwar Rogo in the Ugom community in the Kajuru LGA (Kajuru, Kaduna). Properties were vandalized, and farm products were stolen. Six houses and a church were set on fire. Casualties unknown.",0,,1762818372
NIG46622,2025-01-01,2025,1,"Political violence","Violence against civilians",Attack,"Kaduna Communal Militia (Nigeria)",,"Identity militia","Civilians (Nigeria)",,Civilians,"Identity militia-Civilians","Civilian targeting",566,"Western Africa",Nigeria,Katsina,Danja,,"Unguwan Rogo",11.4636,7.4499,1,"Risk and Strategic Management, Corporation","Local partner-International","On 1 January 2025, a Kaduna militia attacked Unguwar Rogo in the Ugom community in Kajuru (Kajuru, Kaduna). Properties were vandalized, and farm products were stolen. Six houses and a church were set on fire. Casualties unknown.",0,,1769474342
NIG48289,2025-01-01,2025,1,"Political violence","Violence against civilians","Abduction/forced disappearance","Zamfara Communal Militia (Nigeria)",,"Identity militia","Civilians (Nigeria)",,Civilians,"Identity militia-Civilians","Civilian targeting",566,"Western Africa",Nigeria,Zamfara,"Talata Mafara",,Dakuna,12.2412,6.0409,1,"Local Network",Other,"On 1 January 2025, a Zamfara militia abducted at least eight people in the vicinity of Dakuna (Talata Mafara, Zamfara) after setting up a checkpoint along the Maru-Anka road.",0,,1773700005
