h3_id,events,fatalities,latitude,longitude
835998fffffffff,115,168,11.1767345751854,-0.0610704943133484
83a90efffffffff,35,33,-29.4700273812885,-51.0222444613388
83a855fffffffff,107,44,-19.9538720981177,-54.7368408165114
83a80bfffffffff,16,10,-20.7388944911725,-51.7263719906128
838183fffffffff,952,982,-7.56053920202615,-34.9010431911911
83a835fffffffff,32,28,-26.6779560028829,-48.8269054282439
838005fffffffff,155,154,-5.10034621808784,-43.0609072958014
83a895fffffffff,217,167,-20.6601024862827,-40.2488008908509
83585efffffffff,684,539,11.4505255128005,13.814126662765
8396eafffffffff,2,2,-6.790520212811,23.4501156875288
836d2bfffffffff,72,82,14.1334605230035,-91.5368443680887
834524fffffffff,32,30,14.2901193335548,-88.6297905071462
836725fffffffff,717,1209,18.3224390621427,-72.0731285224925
832ca2fffffffff,32,13,32.7394954175073,44.4056630845282
836732fffffffff,126,122,17.6521580017774,-76.8175588970442
837a43fffffffff,13,10,1.36073146733172,37.1582607393954
8329a4fffffffff,487,555,32.8261639605656,-117.235722064842
83481cfffffffff,18,22,26.190992425488,-106.972579609104
834981fffffffff,246,282,20.4847422250053,-101.934960689216
83498cfffffffff,290,273,21.1629370007926,-102.950563397775
8349b3fffffffff,584,572,18.4392161560395,-98.9733888391528
834994fffffffff,307,358,18.9002025320961,-97.8558960843835
83480afffffffff,117,105,27.4889150220481,-109.182401890198
83521bfffffffff,238,42,15.2675041220627,43.9014739055223
837a1afffffffff,21,13,3.63635630797512,45.3116535209199
836b6bfffffffff,56,212,14.471117386034,33.6899821594629
836b48fffffffff,2,26,12.5920067152479,33.4435361410874
836b6afffffffff,107,375,14.5616617516001,32.5424416911868
836b0bfffffffff,2,0,12.0982286786685,25.9129711183807
836b09fffffffff,1,0,13.0175738916225,26.5572776446197
836b4bfffffffff,7,12,11.6237151699835,33.8808241759
836b6efffffffff,172,499,15.5618392607963,32.0782097881692
836a28fffffffff,69,145,9.18158450746249,28.5452803486089
832d84fffffffff,299,314,34.1181576004809,36.6729187222119
835f58fffffffff,185,125,10.2610918495225,-61.0861957882247
836aebfffffffff,6,2,1.60007411298689,32.6360764307656
833cd8fffffffff,31,5,20.78097525468,93.7284590661838
836499fffffffff,53,46,20.2798343169659,95.8024490731519
834982fffffffff,70,80,20.2777539362589,-99.8007069392005
838b84fffffffff,20,11,-13.2145508438674,-56.4484593068196
8366d5fffffffff,52,65,1.66893679069556,-77.4955215916663
833c1dfffffffff,6,1,27.1279279666781,87.8019393871662
8311aafffffffff,84,9,55.9996376167097,37.1504135263079
83942cfffffffff,1,0,-8.52821053388726,125.6136101424
839520fffffffff,1,0,-2.74521049078,118.573156354872
8360b6fffffffff,16,16,18.8201226329952,80.4509234847669
836adafffffffff,241,125,-3.11940308198841,29.5419195212537
834833fffffffff,137,131,23.1741548234678,-106.077623793162
835999fffffffff,13,6,11.2180075642025,0.935318677124924
836b68fffffffff,63,136,15.4696723174626,33.2391553717163
835803fffffffff,118,111,13.2248859155793,7.0014126985862
835802fffffffff,371,444,13.1925990921998,5.91411597989481
83588afffffffff,28,13,6.14801295210066,5.6564832184888
83a8a3fffffffff,146,125,-22.2308958895257,-43.4377902751982
83a8a0fffffffff,232,182,-23.2961145540865,-43.4635866691038
8364abfffffffff,24,2,16.1108662284284,95.7081107267932
835883fffffffff,28,8,6.98726426624134,4.04490959538212
832090fffffffff,149,62,35.0050330811622,69.6244689873407
8358aafffffffff,102,62,8.70413129029543,4.84660483861461
833cd4fffffffff,3,1,21.6982270411129,89.5839532201676
83649bfffffffff,287,95,21.3795505473083,96.126915150624
832db2fffffffff,446,24,31.2535140399462,35.4981059096879
83581bfffffffff,141,119,10.5084930952154,7.80880933189861
838006fffffffff,6,5,-5.13974708283294,-41.006683843161
834446fffffffff,1,14,30.0141699565604,-90.4982927987873
832da3fffffffff,759,2557,35.1923940748185,36.1719660938873
838110fffffffff,167,179,-12.2063584041272,-39.0624277571028
838f2bfffffffff,986,1301,-2.65322376575747,-79.9494955239059
838f2efffffffff,803,1011,-0.817750056768956,-80.7708262924972
8366d2fffffffff,227,272,0.77357015094046,-79.591253752694
838f0dfffffffff,480,579,-3.80911531006369,-80.0706562803015
83648cfffffffff,232,20,17.2357997110357,96.0279316144594
833cdefffffffff,124,30,20.4688929792372,92.5352956562185
834505fffffffff,44,21,17.5256451568725,-87.9553005737113
8320e6fffffffff,14,2,43.3471590149433,76.9754243743618
837a45fffffffff,17,4,-0.549952842366376,37.1210116920831
8352f5fffffffff,287,50,14.2979721423539,44.2222398187755
834802fffffffff,960,1067,25.0126611750315,-107.059720964637
835253fffffffff,9,4,15.4806392618263,48.6638430331648
83498efffffffff,527,504,21.6502946404467,-101.805118860073
8358d1fffffffff,1012,177,6.12181198939476,9.77883172761953
8358dcfffffffff,970,144,6.1100710652485,10.8316728501678
8382d3fffffffff,224,48,4.43114286232327,8.79700973130778
835818fffffffff,388,549,11.4008838125191,7.18392230383002
83581cfffffffff,417,604,12.2958384349369,6.55234191172485
8358ecfffffffff,32,103,10.5341028663743,12.1798564455773
835811fffffffff,201,390,12.2668001505934,5.47876679187938
8358edfffffffff,98,192,10.5310512710566,13.293064422868
83581dfffffffff,448,592,12.3209238666293,7.63716931394427
835852fffffffff,29,13,11.4504292853698,11.5701834232966
835810fffffffff,29,51,12.2339667583921,4.41701152917549
83588bfffffffff,103,124,6.14448410015545,6.67261084766456
836720fffffffff,9,10,18.0214704844554,-73.026078365819
836726fffffffff,21,28,18.6061460973568,-73.8970277374773
838035fffffffff,17,16,-7.49976375896496,-41.049135160656
83811afffffffff,108,112,-9.27902515736599,-40.0486370100096
83a875fffffffff,31,33,-22.4896233537609,-55.8422316637474
83a88cfffffffff,108,106,-19.4838230710147,-44.4210814775155
838185fffffffff,327,285,-9.31081244114708,-35.9374028611439
838af6fffffffff,255,215,-2.85131966969789,-59.8381166789514
8381a8fffffffff,18,19,-9.30083958795309,-37.9879330744126
83806efffffffff,7,7,-1.38491487774384,-51.0868872912988
838ba6fffffffff,67,53,-15.4333691428097,-56.5377985283777
836a1cfffffffff,40,61,5.67283458331016,26.0522041082229
834588fffffffff,4,0,22.7977641914378,-80.9573601615654
8396c1fffffffff,1,2,-5.82400302542821,24.1076166353498
836d64fffffffff,208,215,14.0204312755793,-86.8149401513646
832c80fffffffff,50,30,32.2009765108448,46.817660965491
8348a2fffffffff,558,515,25.6222386296487,-100.21934556865
835465fffffffff,17,41,14.7901156203895,-5.31186173757033
835461fffffffff,90,274,13.8256564474953,-5.62234548673825
8359a3fffffffff,9,17,15.5389244948238,-1.29382898424778
